,index,open_time,close,y_pred,open,qty,balance,buy,sell,strategy_signal,portfolio_value
0,0,2024-04-10 19:00:00+03:00,0.14713,1,0.14604,6806.4652873688965,0.0,-2.0,,1,1001.4352377305859
1,1,2024-04-10 21:00:00+03:00,0.1479,0,0.14716,6806.4652873688965,0.0,,,0,1006.6762160018599
2,2,2024-04-10 23:00:00+03:00,0.14719,0,0.14791,6806.4652873688965,0.0,,,0,1001.8436256478278
3,3,2024-04-11 01:00:00+03:00,0.14759,1,0.14719,6806.4652873688965,0.0,,,1,1004.5662117627754
4,4,2024-04-11 03:00:00+03:00,0.1483,0,0.14762,6806.4652873688965,0.0,,,0,1009.3988021168072
5,5,2024-04-11 05:00:00+03:00,0.14791,1,0.14831,6806.4652873688965,0.0,,,1,1006.7442806547335
6,6,2024-04-11 07:00:00+03:00,0.14783,1,0.14791,6806.4652873688965,0.0,,,1,1006.1997634317439
7,7,2024-04-11 09:00:00+03:00,0.14733,1,0.14783,6806.4652873688965,0.0,,,1,1002.7965307880595
8,8,2024-04-11 11:00:00+03:00,0.14563,0,0.14731,6806.4652873688965,0.0,,,0,991.2255397995325
9,9,2024-04-11 13:00:00+03:00,0.14345,0,0.14564,6806.4652873688965,0.0,,,0,976.3874454730682
10,10,2024-04-11 15:00:00+03:00,0.14382,1,0.14346,6806.4652873688965,0.0,,,1,978.9058376293947
11,11,2024-04-11 17:00:00+03:00,0.14267,0,0.14382,6806.4652873688965,0.0,,,0,971.0784025489204
12,12,2024-04-11 19:00:00+03:00,0.1414,1,0.14264,6806.4652873688965,0.0,,,1,962.434191633962
13,13,2024-04-11 21:00:00+03:00,0.14195,0,0.14139,0.0,975.5855,,2.0,0,975.5855
14,14,2024-04-11 23:00:00+03:00,0.14156,1,0.14195,6845.574639463743,0.0,-2.0,,1,969.0595459624874
15,15,2024-04-12 01:00:00+03:00,0.14203,1,0.14156,6845.574639463743,0.0,,,1,972.2769660430353
16,16,2024-04-12 03:00:00+03:00,0.14287,0,0.14201,6845.574639463743,0.0,,,0,978.0272487401849
17,17,2024-04-12 05:00:00+03:00,0.14415,1,0.14284,6845.574639463743,0.0,,,1,986.7895842786985
18,18,2024-04-12 07:00:00+03:00,0.14289,0,0.14414,6845.574639463743,0.0,,,0,978.1641602329742
19,19,2024-04-12 09:00:00+03:00,0.14109,0,0.1429,6845.574639463743,0.0,,,0,965.8421258819394
20,20,2024-04-12 11:00:00+03:00,0.14047,0,0.14109,6845.574639463743,0.0,,,0,961.597869605472
21,21,2024-04-12 13:00:00+03:00,0.14083,1,0.14047,6845.574639463743,0.0,,,1,964.0622764756789
22,22,2024-04-12 15:00:00+03:00,0.13537,0,0.14081,6845.574639463743,0.0,,,0,926.6854389442068
23,23,2024-04-12 17:00:00+03:00,0.13364,1,0.13538,6845.574639463743,0.0,,,1,914.8425948179346
24,24,2024-04-12 19:00:00+03:00,0.12713,0,0.13365,0.0,951.7669579450001,,2.0,0,951.7669579450001
25,25,2024-04-12 21:00:00+03:00,0.1158,0,0.12711,0.0,951.7669579450001,,,0,951.7669579450001
26,26,2024-04-12 23:00:00+03:00,0.11866,1,0.11581,8141.295812289462,0.0,-2.0,,1,966.0461610862676
27,27,2024-04-13 01:00:00+03:00,0.12004,1,0.11866,8141.295812289462,0.0,,,1,977.281149307227
28,28,2024-04-13 03:00:00+03:00,0.11339,0,0.12004,8141.295812289462,0.0,,,0,923.1415321555022
29,29,2024-04-13 05:00:00+03:00,0.11643,1,0.1134,8141.295812289462,0.0,,,1,947.8910714248622
30,30,2024-04-13 07:00:00+03:00,0.11692,1,0.11642,0.0,928.5298265015626,,2.0,1,928.5298265015626
31,31,2024-04-13 09:00:00+03:00,0.11662,0,0.11692,0.0,928.5298265015626,,,0,928.5298265015626
32,32,2024-04-13 11:00:00+03:00,0.11698,0,0.1166,0.0,928.5298265015626,,,0,928.5298265015626
33,33,2024-04-13 13:00:00+03:00,0.11693,1,0.11698,7902.4659509472995,0.0,-2.0,,1,924.0353436442678
34,34,2024-04-13 15:00:00+03:00,0.11725,1,0.11693,7902.4659509472995,0.0,,,1,926.5641327485708
35,35,2024-04-13 17:00:00+03:00,0.11529,0,0.11724,7902.4659509472995,0.0,,,0,911.0752994847142
36,36,2024-04-13 19:00:00+03:00,0.10651,0,0.11528,7902.4659509472995,0.0,,,0,841.6916484353968
37,37,2024-04-13 21:00:00+03:00,0.10009,0,0.10651,7902.4659509472995,0.0,,,0,790.9578170303151
38,38,2024-04-13 23:00:00+03:00,0.09369,0,0.1001,0.0,905.8599134366594,,2.0,0,905.8599134366594
39,39,2024-04-14 01:00:00+03:00,0.09791,1,0.09367,9540.865695700231,0.0,-2.0,,1,934.1461602660096
40,40,2024-04-14 03:00:00+03:00,0.09591,0,0.09792,9540.865695700231,0.0,,,0,915.0644288746091
41,41,2024-04-14 05:00:00+03:00,0.09554,0,0.09591,9540.865695700231,0.0,,,0,911.5343085672001
42,42,2024-04-14 07:00:00+03:00,0.10197,1,0.09554,9540.865695700231,0.0,,,1,972.8820749905526
